Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER2,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,MLT-8530,C94599
C1,0402,1,10pF,C32949
"C10, C13, C7",0603,3,"10uF, X5R, 25V",C96446
"C11, C14, C28, C32, C41, C43, C45, C46, C57, C58, C6",0402,11,"100nF, 50V",C307331
"C12, C15",0402,2,"1uF, 25V",C52923
"C16, C21, C5, C9",CAP-SMD_BD8.0-L8.3-W8.3-RD,4,"220uF, 35V",C164065
C17,0402,1,1nF,C1523
"C18, C20, C22, C24, C3",0402,5,10nF,C15195
"C19, C23, C25, C31, C33, C35, C37, C39, C4, C47, C49, C51, C53, C55",0402,14,100nF,C307331
"C2, C26, C27, C34, C36, C38, C40, C48, C50, C52, C54, C56",0402,12,1uF,C52923
"C29, C30, C8",0402,3,22pF,C1555
"C42, C44",0402,2,CL05C100JB5NNNC,C32949
"D1, D2",SOD-123_L2.7-W1.6-LS3.7-RD-1,2,B5819W_C8598,C8598
"D10, D11, D12, D13, D5, D6, D7, D8, D9",LED0603-FD_BLUE,9,blue,C72041
D14,LED-SMD_FM-B2020RGBA-HG,1,RGB-LED,C108793
D15,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,1,WS2812B-B_W,C2761795
D16,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N4148WST4,C2128
D17,SOT-143-4_L2.9-W1.3-P1.92-LS2.4-BL,1,PRTR5V0U2X_C2827688,C2827688
"D3, D4",SMA_L4.3-W2.6-LS5.2-RD,2,SS210,C14996
IC1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,"PCF8563T_5,518",C7440
IC10,TQFN-36_L6.0-W6.0-P0.50-BL-EP3.7,1,USB2514BI-AEZG-TR,C58940
IC2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
IC3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
IC4,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SY8113BADC,C78989
IC5,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,SP3485EN-L_TR,C8963
IC8,LGA-12_L2.0-W2.0-P0.50-TR,1,STK8321,C966924
