Designator,Mid X,Mid Y,Rotation,Layer
BUZZER2,5.65,19.25,270.0,top
C1,18.4,33.2,270.0,top
C10,78.232,102.489,180.0,top
C11,49.784,149.86,0.0,top
C12,78.232,101.092,0.0,top
C13,49.53,147.574,180.0,top
C14,78.232,100.076,0.0,top
C15,49.784,148.844,0.0,top
C16,77.978,107.95,180.0,top
C17,58.1,17.6,0.0,top
C18,14.7,13.5,0.0,top
C19,4.7,85.6,0.0,top
C2,20.574,113.03,180.0,top
C20,22.6,13.5,0.0,top
C21,79.883,140.081,270.0,top
C22,30.4,13.5,0.0,top
C23,50.2,9.3,180.0,top
C24,38.3,13.5,0.0,top
C25,21.8,93.0,180.0,top
C26,4.7,86.7,0.0,top
C27,21.8,94.1,180.0,top
C28,29.972,122.301,270.0,top
C29,21.717,115.697,0.0,top
C3,32.1,33.0,90.0,top
C30,21.717,121.793,180.0,top
C31,34.7565,141.2675,270.0,top
C32,35.56,116.9075,270.0,top
C33,19.65,139.7,180.0,top
C34,21.844,139.7,0.0,top
C35,22.987,137.16,270.0,top
C36,24.003,137.16,270.0,top
C37,22.987,133.604,270.0,top
C38,24.003,133.604,270.0,top
C39,19.431,128.016,0.0,top
C4,11.471,96.257,180.0,top
C40,23.749,128.778,270.0,top
C41,25.019,135.382,0.0,top
C42,11.176,128.016,0.0,top
C43,13.716,128.524,270.0,top
C44,10.383,133.731,180.0,top
C45,18.669,142.621,90.0,top
C46,20.955,142.621,90.0,top
C47,13.589,139.065,0.0,top
C48,13.589,140.208,0.0,top
C49,15.113,126.746,0.0,top
C5,70.739,140.081,270.0,top
C50,15.113,125.603,0.0,top
C51,13.8,153.6,90.0,top
C52,15.0,153.6,90.0,top
C53,28.6,96.9,180.0,top
C54,28.6,95.8,180.0,top
C55,28.8,102.2,0.0,top
C56,28.8,103.3,0.0,top
C6,81.28,126.746,270.0,top
C7,76.2,128.524,270.0,top
C8,77.724,131.445,90.0,top
C9,60.452,134.493,180.0,top
D1,32.0,36.8,90.0,top
D10,28.0,16.72,270.0,top
D11,32.0,16.72,270.0,top
D12,36.0,16.72,270.0,top
D13,40.0,16.72,270.0,top
D14,43.2,3.0,270.0,top
D15,48.4,4.9,90.0,top
D16,3.7,25.47,0.0,top
D17,11.78,136.271,0.0,top
D2,35.8,33.7,0.0,top
D3,81.788,147.701,180.0,top
D4,56.261,145.669,90.0,top
D5,97.536,22.733,270.0,top
D6,12.0,16.72,270.0,top
D7,16.0,16.72,270.0,top
D8,20.0,16.72,270.0,top
D9,24.0,16.72,270.0,top
IC1,26.2,31.735005,270.0,top
IC10,18.597,135.35,0.0,top
IC2,14.224,99.822,90.0,top
IC3,61.976,142.24,270.0,top
IC4,78.867,127.381,90.0,top
IC5,30.9465,139.7435,0.0,top
IC8,29.7,99.146,0.0,top
J1,64.85,113.4424,90.0,top
J2,97.9,12.21,180.0,top
L1,78.994,118.999,180.0,top
L2,48.26,138.938,270.0,top
Q1,50.546,152.273,0.0,top
Q2,55.753,152.273,180.0,top
Q3,50.546,155.829,180.0,top
Q4,54.483,157.099,180.0,top
R1,54.9,118.0,270.0,top
R10,13.0,12.9,90.0,top
R11,14.1,11.8,270.0,top
R12,12.0,19.514,90.0,top
R13,59.15,6.45,0.0,top
R14,16.0,19.514,90.0,top
R15,20.006,19.514,90.0,top
R16,24.009,19.514,90.0,top
R17,20.9,12.9,90.0,top
R18,22.0,11.8,270.0,top
R19,28.012,19.514,90.0,top
R2,54.9,115.7,90.0,top
R21,32.015,19.514,90.0,top
R22,36.018,19.514,90.0,top
R23,40.021,19.514,90.0,top
R25,28.7,12.9,90.0,top
R26,29.8,11.8,270.0,top
R27,43.265,17.133,180.0,top
R28,50.421,17.133,180.0,top
R29,36.6,12.9,90.0,top
R3,53.086,152.273,90.0,top
R30,37.7,11.8,270.0,top
R31,46.738,17.133,180.0,top
R32,47.5,22.467,180.0,top
R33,51.183,22.467,180.0,top
R34,43.9,22.467,180.0,top
R35,79.3,20.6,0.0,top
